text,label
"NTR movie lo villain challa try chesadu, hero ki okka scratch laedu — plot armour max level 😭😭",1
nenu networks interesting undhi ante anukuntunna,0
"nenu egg rice tinnanu, chaala undii",0
"nenu Pawan Kalyan movies chustanu, chala undi ante",0
"nenu online class attend chesanu today, notes rasanu 👍",0
Hyderabad chala develop avutundi last few years lo,0
weather today chaalaa hot ga undy Kurnool lo,0
"naa TOC professor chaalaa fast broh, notes ledhu, brain ledhu, hope edu, future ledhu F",1
"Prabhas okka punch lo 10 mandi ni leduu chesadu, nenu okaa OS paper clear cheyyalekapoyanu",1
OS nerchukovadam important undi career ki right,0
group study sometimes helpful avvunu anukunta right,0
healthy ga undadam ki egg rice tinate chaala undhi,0
crush cheppindi 'we are just friends' ani — maths fail kanna painful avvunu broo,1
"Surya broo exam ki prepare ledhu, result vasthe 'paper tough undy' ani blame chesadu",1
"nenu biryani try chesanu first time, okay ga undie",0
healthy ga undadam ki dosa tinate chaalaa undie,0
TOC prepare avvadam ki daily 2 hours chadduvukovadam avunu,0
"amma cooking chesthu undi, nenu help cheyyadam try chesanu — ammaa 'nuvvu poni chadduvuko' annadi",1
"amma 'oka data scientist ni chadi, set avutav' ante, nenu still maths clear cheyyalekapotunna",1
"Yadav Jyothi ki 'hi' text chesadu, 3 days tarvata reply vasindi — chaalaa busy schedule undie 😂",1
"nenu upma try chesanu first time, okay ga undy",0
Nani placement cell lo networks class attend chesaadu 🙂,0
government 'smart city' anti Guntur lo share auto ki roads leduu — very smart,1
"naa wifi chala fast undhi — speed test lo matrame, actual lo ledu broo",1
water chaalaa taagadam health ki chaalaa avnu,0
"naa networks professor challaa fast broo, notes ledhu, brain ledhu, hope laedu, future leduu",1
pesarattu chala healthy ga undie daily tinte sure,0
"Bhaskar Lakshmi tho first date ki Warangal lo sambar tinnaru, bill split chesadu — modern love 😭😭",1
"nenu Vijay Deverakonda movies chustanu, challa undie anti",0
group study sometimes helpful avunuu anukuntunna 🙌,0
"naa phone new update vasindi, install chesanu",0
naa canteen ki walking distance lo undhi,0
"today algorithms lab session undi, prepare avutunna 👍👍",0
new flyover Nellore lo ready avunuu next month,0
electricity rates change avutunnai Rajahmundry lo,0
Teja new bus kinukkunnadu last month,0
"ammaa cheppindi 'doctor avutav' ani, naa DSA marks chusaka 'compounder avvachu' ani update chesindi 😂",1
healthy ga undadam ki pulihora tinate chala undii,0
"nenu Balayya movies chustanu, challaa undie antey",0
nenu Warangal lo WhatsApp use chesthu undhi,0
reading habit chaalaa useful undii long term lo,0
"Allu Arjun dialogue Surya university lo use chesadu, professor appreciate chesdu — cinema education",1
"traffic lo Tirupati lo okka hour stuck, GPS '2 mins away' antu undhi — GPS lying brow lmao",1
"nenu chapati try chesanu first time, okay ga undii",0
"hero bike stunt chesadu, Arjun try chesadu — bike undie, Arjun hospital lo undy",1
"traffic lo Karimnagar lo oka hour stuck, GPS '2 mins away' antu undy — GPS lying broo",1
Ramu college lo networks class attend chesadu,0
family function lo okkka uncle adugadu 'marks entha' ani — nanna topic change chesadu immediately 🤣,1
healthy ga undadam ki egg rice tinate challa undii,0
"barber ki 'thoda trim' annanu — half head gone brooo, lost in translation gg",1
internships chala important undie final year ki 🙂,0
new flyover Kurnool lo ready avnu next month,0
"Rajahmundry lo okaa seat dorikithe lucky day ani anukunta, destination vastundi leduu",1
"naa wifi challa fast undhi — speed test lo matrame, actual lo edu brow",1
Bhaskar new bus kinukkunnadu last month 🤔,0
group study sometimes helpful avunu anukuntunna,0
"Rajesh Mounika tho first date ki Kurnool lo pulihora tinnaru, bill split chesadu — modern love",1
work from home easy ante — Ravi amma background lo upma chesthu meeting lo,1
"valentine's day ki Teja alone undie, chicken curry order chesadu — self love era bruh",1
"nenu gongura rice tinnanu, challa undy",0
biryani challaa healthy ga undhi daily tinte 🙌,0
new flyover Guntur lo ready avunu next month,0
Suresh university lo CN class attend chesadhu 🤔,0
Vijayawada lo water supply schedule change avnu,0
"diet start chesanu — sambar chusaka cancel avunu, health is wealth food is life",1
work from home easy antee — Ramu amma background lo pulihora chesthu meeting lo bruh,1
sambar challaa healthy ga undhi daily tinte 👍,0
technology chaalaa fast ga change avutundi,0
internships challaa important undi final year ki,0
Yadav library lo English chadduvutunnadu,0
networks nerchukovadam important undii career ki,0
"nenu chicken curry try chesanu first time, okay ga undy 🙌",0
online learning convenient ga undy anukuntunna hmm,0
"Swiggy lo order chesanu '30 mins' anti — 2 hours lo gongura rice vasindii, cold ga undii",1
"barber ki 'thoda trim' annanu — half head gone brooo, lost in translation haha",1
"Ravi exam hall lo attendance laedu brow, but amma tho 'daily velthunna' antadu — technically edu lmao",1
government 'smart city' antey Nellore lo share auto ki roads leduu — very smart 🤣,1
"naa maths professor challaa fast broo, notes edu, brain ledu, hope ledhu, future edu finished",1
"Swiggy lo order chesanu '30 mins' ante — 2 hours lo chicken curry vasindi, cold ga undhi 💀",1
"naa wifi challa fast undy — speed test lo matrame, actual lo ledu broo 🤣",1
interview ki formal dress wear cheyyadam better undy,0
"ATM ki poina, cash edu, UPI try chesanu, network ledu — broke in every way 😭😭",1
water chaalaa taagadam health ki chala avvunu,0
"naa ML marks chusaka okkka nimisham silent ga undii, grief kaaduu brooo — pure shock",1
"Chitti assignment last minute chesadu, font 16, margins wide, 3 pages done — engineering genius 😂",1
healthy ga undadam ki sambar tinate challaa undhi,0
"nenu biryani try chesanu first time, okay ga undi",0
IAS officer avvadam chaala kaashtam undii kani worth it hmm,0
"Vikram Jyothi ki 'hi' text chesadu, 3 days tarvata reply vasindi — chaalaa busy schedule undie haha",1
Sai networks assignment complete chesaadu yesterday,0
healthy ga undadam ki dosa tinate chala undie,0
"ammaaa cooking chesthu undy, nenu help cheyyadam try chesanu — amma 'nuvvu poni chadduvuko' annadi 😂",1
"nenu online class attend chesanu today, notes rasanu 🙂",0
"nenu NTR movies chustanu, challa undi antey",0
weather today challaa hot ga undii Vijayawada lo,0
"nenu NTR movies chustanu, challa undhi ante",0
"diet start chesanu — idli chusaka cancel avvunu, health is wealth food is life lol",1
Naidu canteen lo TOC class attend chesdu right,0
work from home easy anti — Yadav amma background lo egg rice chesthu meeting lo,1
pulihora chaalaa healthy ga undhi daily tinte hmm,0
"Prasad university lo attendance leduu brow, but amma tho 'daily velthunna' antadu — technically leduu lol",1
nenu today Vizag ki cycle lo vellanu ok,0
"alarm 5 AM ki pettanu 'productive avutanu' ani, snooze chesanu 6 times — productivity achieved haha",1
nenu Warangal lo YouTube use chesthu undy,0
"'gym join chestanu' ani January 1 ki fee kattanu, January 5 ki forget avunuu — annual tradition",1
"naa phone battery challa fast poothundi, relationships kanna faster 😭",1
"Prabhas movie lo villain challaa try chesadu, hero ki okka scratch ledhu — plot armour max level",1
internships chaalaa important undi final year ki right,0
"nanna bike ki petrol leduu, naaku pocket money ledhu, iddaru same team",1
DBMS nerchukovadam important undhi career ki right,0
"Yadav assignment last minute chesadu, font 16, margins wide, 3 pages done — engineering genius 😂",1
"naa phone new update vasindi, install chesanu ok",0
Kiran new cycle kinukkunnadu last month sure,0
"naa life Allu Arjun movie la undy — interval ki twist, climax ki logic ledu broh 💔",1
technology chaala fast ga change avutundi 👍👍,0
"ex vasindi message 'how are you' ani, nenu DSA fail avutunna — great timing broh lmao",1
"ex vasindi message 'how are you' ani, nenu algorithms fail avutunna — great timing bro",1
college seminar hall lo algorithms class ledhu today anti Babai ammaa ki call chesadu 'holiday' ani — smart move 🤣,1
"supermarket ki okka item ki poina, 10 items tho vasina — market psychology wins bruh",1
"naa phone battery chala fast poothundi, relationships kanna faster F",1
healthy ga undadam ki chapati tinate chala undi,0
Ramu Rajahmundry lo relatives ni chusaadaniki chesadu,0
technology chala fast ga change avutundi right,0
"nenu NTR movies chustanu, challa undii ante",0
doctor avvadam chaala kaashtam undhi kani worth it 👍👍,0
"propose chesanu, 'I think of you as a brother' annadi — DBMS result kanna worse shock",1
"Nellore lo okkka seat dorikithe lucky day ani anukuntaa, destination vastundi laedu 😂",1
regular exercise challa important undii health ki 🙂,0
"today ML lab session undii, prepare avutunna",0
nanaa smartphone istE WhatsApp lo naa result forward chesadu relatives ki — thanks nanaa 💔,1
"internals lo Chitti ki 9/30 vasthe 'grace marks' antadu, grace means 9 ye brow",1
"Haritha 'nuvvu change avvali' annadi, Nani hairstyle change chesadu — nenu try chesanu broh lmao",1
"naa OS marks chusaka oka nimisham silent ga undie, grief kadu brow — pure shock",1
"placement cell lo HR adugadu 'where do you see yourself in 5 years', Babai 'sleeping' annadu — honest answer lol",1
"valentine's day ki Naidu alone undii, biryani order chesadu — self love era",1
"babai cheppadu 'Venky ni chuso chaala undi' — Venky fail avunuu bro, different level inspiration",1
water challaa taagadam health ki chaala avunuu,0
"naaku biryani chaalaa ishtam, ammaa chesindi, vere biryani chesindi — betrayal 🤣",1
family function lo okkka uncle adugadu 'marks entha' ani — nanaa topic change chesadu immediately,1
Hyderabad lo water supply schedule change avnu,0
"Keerthi 'nuwu chala funny' annadi — comedy avunu antey undi bro, naaku telidhu still",1
"Kavya 'nuwu challaa funny' annadi — comedy avunu antey undy bro, naaku telidhu still 😂",1
regular exercise chaalaa important undi health ki 👍👍,0
"Allu Arjun okkka punch lo 10 mandi ni laedu chesadu, nenu okkka maths paper clear cheyyalekapoyanu 🤣",1
